363	1363045	332
364	1363377	608
365	1363985	361
366	1364346	303
367	1364649	585
368	1365234	530
369	1365764	446
370	1366210	310
371	1366520	597
372	1367117	451
373	1367568	553
374	1368121	543
375	1368664	367
376	1369031	357
377	1369388	520
378	1369908	412
379	1370320	466
380	1370786	488
381	1371274	462
382	1371736	472
383	1372208	322
384	1372530	417
385	1372947	318
386	1373265	319
387	1373584	643
388	1374227	361
389	1374588	363
390	1374951	381
391	1375332	406
392	1375738	329
393	1376067	905
394	1376972	886
395	1377858	944
396	1378802	854
397	1379656	968
398	1380624	891
399	1381515	906
400	1382421	872
401	1383293	911
402	1384204	871
403	1385075	898
404	1385973	878
405	1386851	853
406	1387704	919
407	1388623	898
408	1389521	870
409	1390391	867
410	1391258	893
411	1392151	918
412	1393069	915
413	1393984	1915
414	1395899	1775
415	1397674	1824
416	1399498	2490
417	1401988	2441
418	1404429	1972
419	1406401	2319
420	1408720	1975
421	1410695	1875
422	1412570	2086
423	1414656	520
424	1415176	396
425	1415572	311
426	1415883	266
427	1416149	230
428	1416379	429
429	1416808	396
430	1417204	224
431	1417428	196
432	1417624	262
433	1417886	294
434	1418180	347
435	1418527	221
436	1418748	337
437	1419085	189
438	1419274	478
439	1419752	354
440	1420106	249
441	1420355	308
442	1420663	305
443	1420968	247
444	1421215	306
445	1421521	179
446	1421700	362
447	1422062	493
448	1422555	195
449	1422750	235
450	1422985	288
451	1423273	261
452	1423534	405
453	1423939	145
454	1424084	923
455	1425007	313
456	1425320	322
457	1425642	347
458	1425989	194
459	1426183	238
460	1426421	290
461	1426711	480
462	1427191	206
463	1427397	4795
464	1432192	8181
465	1440373	10019
466	1450392	1288
467	1451680	7495
468	1459175	16457
469	1475632	6755
470	1482387	8724
471	1491111	5343
472	1496454	2673
473	1499127	1411
474	1500538	3815
475	1504353	3706
476	1508059	1484
477	1509543	9685
478	1519228	12107
479	1531335	8332
480	1539667	3510
481	1543177	4845
482	1548022	2020
483	1550042	2820
484	1552862	3168
485	1556030	24363
486	1580393	1997
487	1582390	2931
488	1585321	1137
489	1586458	2154
490	1588612	17650
491	1606262	14776
492	1621038	3820
493	1624858	568
494	1625426	572
495	1625998	429
496	1626427	245
497	1626672	235
498	1626907	237
499	1627144	2065
500	1629209	892
501	1630101	2425
502	1632526	1843
503	1634369	2737
504	1637106	3313
505	1640419	2004
506	1642423	2379
507	1644802	1666
508	1646468	2386
509	1648854	1680
510	1650534	1671
511	1652205	1337
512	1653542	5115
513	1658657	1523
514	1660180	3556
515	1663736	2314
516	1666050	1303
517	1667353	3628
518	1670981	2155
519	1673136	4697
520	1677833	287
521	1678120	276
522	1678396	287
523	1678683	300
524	1678983	286
525	1679269	304
526	1679573	524
527	1680097	709
528	1680806	537
529	1681343	701
530	1682044	701
531	1682745	631
532	1683376	727
533	1684103	405
534	1684508	817
535	1685325	841
536	1686166	186
537	1686352	188
538	1686540	189
539	1686729	190
540	1686919	215
541	1687134	213
542	1687347	185
543	1687532	207
544	1687739	193
545	1687932	196
546	1688128	6374
547	1694502	9968
548	1704470	7896
549	1712366	4340
550	1716706	6780
551	1723486	6234
552	1729720	3194
553	1732914	2551
554	1735465	1582
555	1737047	4016
556	1741063	3256
557	1744319	3844
558	1748163	2985
559	1751148	28732
560	1779880	7236
561	1787116	6266
562	1793382	1761
563	1795143	1796
564	1796939	1540
565	1798479	1217
566	1799696	14011
567	1813707	5863
568	1819570	7121
569	1826691	7572
570	1834263	7040
571	1841303	3999
572	1845302	8197
573	1853499	11579
574	1865078	6061
575	1871139	7429
576	1878568	267
577	1878835	841
578	1879676	537
579	1880213	605
580	1880818	525
581	1881343	561
582	1881904	492
583	1882396	626
584	1883022	678
585	1883700	851
586	1884551	656
587	1885207	510
588	1885717	587
589	1886304	537
590	1886841	706
591	1887547	421
592	1887968	474
593	1888442	492
594	1888934	296
595	1889230	560
596	1889790	536
597	1890326	236
598	1890562	381
599	1890943	260
600	1891203	583
601	1891786	427
602	1892213	415
603	1892628	451
604	1893079	503
605	1893582	398
606	1893980	408
607	1894388	347
608	1894735	393
609	1895128	410
610	1895538	401
611	1895939	406
612	1896345	432
613	1896777	402
614	1897179	413
615	1897592	411
616	1898003	410
617	1898413	434
618	1898847	409
619	1899256	403
620	1899659	410
621	1900069	267
622	1900336	841
623	1901177	537
624	1901714	605
625	1902319	525
626	1902844	561
627	1903405	492
628	1903897	626
629	1904523	678
630	1905201	851
631	1906052	5952
632	1912004	8264
633	1920268	26665
634	1946933	12004
635	1958937	15358
636	1974295	40211
637	2014506	32900
638	2047406	4947
639	2052353	15285
640	2067638	23275
641	2090913	507
642	2091420	678
643	2092098	588
644	2092686	667
645	2093353	615
646	2093968	540
647	2094508	462
648	2094970	477
649	2095447	539
650	2095986	630
651	2096616	608
652	2097224	508
653	2097732	555
654	2098287	484
655	2098771	471
656	2099242	16353
657	2115595	5331
658	2120926	2297
659	2123223	4270
660	2127493	8600
661	2136093	12563
662	2148656	3003
663	2151659	9137
664	2160796	4454
665	2165250	12613
666	2177863	10186
667	2188049	5416
668	2193465	1955
669	2195420	6970
670	2202390	6437
671	2208827	3941
672	2212768	7840
673	2220608	14081
674	2234689	4548
675	2239237	5636
676	2244873	2121
677	2246994	4164
678	2251158	3893
679	2255051	2855
680	2257906	3126
681	2261032	9384
682	2270416	4565
683	2274981	2881
684	2277862	2377
685	2280239	9633
686	2289872	4697
687	2294569	6058
688	2300627	7129
689	2307756	5263
690	2313019	3590
691	2316609	3727
692	2320336	17339
693	2337675	2393
694	2340068	4420
695	2344488	5851
696	2350339	2491
697	2352830	6471
698	2359301	3572
699	2362873	4914
700	2367787	16100
701	2383887	2569
702	2386456	3201
703	2389657	5181
704	2394838	8953
705	2403791	7035
706	2410826	8779
707	2419605	21614
708	2441219	17843
709	2459062	5377
